Client is frustrated
Customer is frustrated
Insured is frustrated 
She is frustrated
They are frustrated
He is frustrated
Client is angry 
Customer is angry
Insured is angry
She is angry 
He is angry
They are angry 
Hardship
Can't afford
Unable to pay
Client is struggling to
Client is struggling with
Customer is struggling to
Customer is struggling with
Insured is struggling to
Insured is struggling with
She is struggling to
She is struggling with
He is struggling to
He is struggling with
They are struggling to
They are struggling with
Depressed
No one can help me
Client lives by herself 
Customer lives by herself 
Insured lives by herself 
She lives by herself 
He lives by herself 
They live by themselves
Client is scared of
Client is scared that
Customer is scared of
Customer is scared that
Insured is scared of
Insured is scared that
He is scared of
He is scared that
She is scared of
She is scared that
They are scared of
They are scared that
Client is afraid 
Customer is afraid
Insured is afraid
She lives afraid
He lives afraid
They live afraid 
Client is anxious 
Customer is anxious
Insured is anxious
She lives alone
He lives alone
They live alone
Client lives alone
Customer lives alone
Insured lives alone
She lives alone
He lives alone
They live alone
Client has anxiety
Customer has anxiety
Insured has anxiety
She has anxiety
He has anxiety
They have anxiety 
Abuse
Assault
Cancer
Death
Depression
Discriminate
Domestic Violence
AVO
DVO
Family Violence
FDV
Homeless
Client has an illness
Customer has an illness 
Insured has an illness
I have an illness
She has an illness
He has an illness
They have an illness
Mental Health
PTSD
Suicide
Traumatic
Unable to understand
Client is unwell
Customer is unwell
Insured is unwell
She is unwell 
He is unwell
They are unwell
Vulnerable
Require an interpreter
Need an interpreter
Has an interpreter
English as a second language
ESL
Disability
Illiterate
Elderly
Disabled
Require an additional support
Need an additional support
Has an additional support
Require an additional assistance
Need an additional assistance
Has an additional assistance
Support person
find this frustrating
find that frustating
there is frustration about
there is frustation in
there is frustration regarding
Client is fed up
Customer is fed up
Insured is fed up
She is fed up
 He is fed up
They are fed up
At my wit's end
At my wits end
At breaking point
Client is angry
Customer is angry
Insured is angry
She is angry
He is angry
They are angry 
Client is mad 
Customer is mad
Insured is mad
She is mad 
He is mad
They are mad 
Client is furious
Customer is furious 
Insured is furious
She is furious
He is furious
They are furious 
Client is outraged
Customer is outraged
Insured is outraged
She is outraged
He is outraged
They are outraged
Client is livid
Customer is livid
Insured is livid
She is livid
He is livid
They are livid
Client is upset
Customer is upset
Insured is upset
She is upset
He is upset
They are upset  
Really upset
Distressed
In distress
Client is overwhelmed 
Customer is overwhelmed
Insured is overwhelmed
She is overwhelmed
He is overwhelmed
They are overwhelmed 
Stressed
Under stress
High stress
Client has panic
Customer has panic
Insured has panic
She has panic
He has panic
They have panic  
Panic attack
Panicking
Client has worry
Customer has worry
Insured has worry
She has worry
He has worry
They have worry 
Client is worried
Customer is worried
Insured is worried
She is worried
He is worried
They are worried 
Very worried
Client is terrified
Customer is terrified
Insured is terrified
She is terrified
He is terrified
They are terrified
Client is fearful
Customer is fearful
Insured is fearful
She is fearful
He is fearful
They are fearful
Client is frightened
Customer is frightened
Insured is frightened
She is frightened
He is frightened
They are frightened
Shaken
Trauma
Traumatized
Traumatised
In shock
Can't cope
Can’t cope
Cannot cope
Can't handle this
Cannot handle this
I can't cope
I can't deal
Desperate
Hopeless
Helpless
No hope
I feel hopeless
I feel helpless
I am at risk
